Upd;Lat;Long;Country;Sample_ID
Klever Guillermo;-16.7922284;-70.335182;Perú;474563
Klever Guillermo;-16.7922168;-70.3349727;Perú;474562
Klever Guillermo;-16.7921916;-70.3347396;Perú;474561
Klever Guillermo;-16.7922209;-70.3344781;Perú;474560
Klever Guillermo;-16.7922332;-70.33424331;Perú;474558
Klever Guillermo;-16.7922387;-70.3340268;Perú;474535
Klever Guillermo;-16.7922537;-70.3340137;Perú;474534
Klever Guillermo;-16.7922529;-70.3335514;Perú;474556
Klever Guillermo;-16.7921988;-70.33331491;Perú;474553
Klever Guillermo;-16.7922319;-70.3330527;Perú;474552
Klever Guillermo;-16.7922439;-70.3329016;Perú;474551
Klever Guillermo;-16.7922219;-70.3325839;Perú;474550
Klever Guillermo;-16.7922602;-70.3323364;Perú;474549
Klever Guillermo;-16.7947192;-70.3369591;Perú;474517
Klever Guillermo;-16.794741;-70.3360408;Perú;474504
Klever Guillermo;-16.7947498;-70.3358146;Perú;474501
Klever Guillermo;-16.79330442;-70.33571681;Perú;474533
Klever Guillermo;-16.7934007;-70.3359026;Perú;474532
Klever Guillermo;-16.7935511;-70.3361085;Perú;474531
Klever Guillermo;-16.7942054;-70.3356466;Perú;474530
Klever Guillermo;-16.79401947;-70.33613037;Perú;474528
Klever Guillermo;-16.7938289;-70.3361961;Perú;474527
Klever Guillermo;-16.79401788;-70.33638577;Perú;474526
Klever Guillermo;-16.7942503;-70.3365101;Perú;474515
Klever Guillermo;-16.7942368;-70.3364817;Perú;474514
Klever Guillermo;-16.7947338;-70.336718;Perú;474525
Klever Guillermo;-16.7942677;-70.3360154;Perú;474512
Klever Guillermo;-16.7937884;-70.3357506;Perú;474516
Klever Guillermo;-16.794058;-70.3359053;Perú;474510
Klever Guillermo;-16.794477;-70.3360929;Perú;474509
Klever Guillermo;-16.7946799;-70.33619234;Perú;474506
